Start,End,Character,Original Text,Translation,Machine Translations
"00:02:12,720","00:02:15,600",,"And she struggled
to create perfect curls.",,
"00:02:15,600","00:02:18,840",,"I felt like this
the whole way through - shaking.",,
"00:02:18,840","00:02:21,640",,"Whose time
in the competition is over?",,
"00:02:21,640","00:02:23,240",,I would like to stay.,,
"00:02:23,240","00:02:25,720",,"If I do go home, yeah, it's going
to be a bit disappointing.",,
"00:02:25,720","00:02:27,960",,It's getting really real now.,,
"00:02:27,960","00:02:31,600",,"I really, really hope
that the judges put us through.",,
"00:02:32,600","00:02:38,160",,"Meggan and Rebecca, you've
done so well to come this far,",,
"00:02:38,160","00:02:42,200",,"but I can now reveal which one
of you is leaving the competition.",,
"00:02:48,200","00:02:50,160",,And that person is Rebecca.,,
"00:02:50,160","00:02:52,400",,Thank you.,,
"00:02:52,400","00:02:53,760",,I had so much fun.,,
"00:02:53,760","00:02:56,800",,"I learnt so much and it's been
a wonderful experience.",,
"00:02:56,800","00:02:58,360",,I'm really proud of myself.,,
"00:02:58,360","00:03:01,520",,Let me go!,,
"00:03:01,520","00:03:04,360",,"Thank you for being part of this.
<font color=""#00ffff"">Thank you so much. </font>You're welcome.",,
"00:03:04,360","00:03:06,040",,I can't believe I got this far.,,
"00:03:06,040","00:03:08,440",,"Rebecca, she's got
some good basic skills.",,
"00:03:08,440","00:03:11,120",,"Unfortunately,
the curls wasn't enough.",,
"00:03:11,120","00:03:13,640",,"It's, kind of, given me more
confidence in what I can do",,
"00:03:13,640","00:03:16,720",,"and under pressure,
now, I think I can do anything.",,
"00:03:20,320","00:03:23,400",,"For the quarterfinal of the
competition, the final five",,
"00:03:23,400","00:03:26,880",,"remaining stylists have come to
one of London's busiest tourist",,
"00:03:26,880","00:03:29,040",,"attractions, the London Dungeon.",,
"00:03:29,040","00:03:32,200",,"It's 5.30 in the morning
and, as well as wondering",,
"00:03:32,200","00:03:35,080",,"where their cornflakes are,
the stylists are also wondering",,
"00:03:35,080","00:03:38,800",,"what torture they will endure
in today's professional challenge.",,
"00:03:38,800","00:03:40,920",,"I didn't think
I would make it this far.",,
"00:03:40,920","00:03:42,760",,"Today, I need to beat everybody.",,
"00:03:42,760","00:03:46,640",,"I'm sick of being
at the bottom. Come on!",,
"00:03:46,640","00:03:50,520",,"I feel fantastic
about being in the quarterfinals",,
"00:03:50,520","00:03:53,640",,"but the London Dungeons?
I'm a scaredy-cat.",,
"00:03:53,640","00:03:55,360",,I don't like it.,,
"00:03:55,360","00:03:58,000",,"I, kind of, feel like
there's going to be a twist today.",,
"00:03:58,000","00:04:01,560",,"I'm like, erm, wondering
what the twist is going to be.",,
"00:04:01,560","00:04:04,080",,"As I said earlier,
they're called curls, not twists.",,
"00:04:04,080","00:04:05,520",,She should know that.,,
"00:04:09,080","00:04:14,640",,"Welcome to the quarterfinal, held,
of course, here, in Alain's bedroom.",,
"00:04:17,440","00:04:22,400",,"No, it's the torture chamber,
where your first task will be to",,
"00:04:22,400","00:04:27,200",,"create hairdos for some for
the Dungeon's lead characters.",,
"00:04:27,200","00:04:29,840",,"Judges, what words
of advice do you have?",,
"00:04:29,840","00:04:31,440",,This has got to be frightening.,,
"00:04:31,440","00:04:34,240",,It really has to scare the public.,,
"00:04:34,240","00:04:38,200",,"You have full artistic licence
and we want you to use it.",,
"00:04:38,200","00:04:41,640",,"This is not about creating
an accurate historical hairdo.",,
"00:04:41,640","00:04:44,320",,"If you create something
big and messy,",,
"00:04:44,320","00:04:48,240",,"make it purposely messy and make
sure it's sturdy, because these",,
"00:04:48,240","00:04:54,440",,"actors are very hands on and it has
to last their eight-hour shift.",,
"00:04:54,440","00:04:58,480",,"You have one hour to create
these frightening styles",,
"00:04:58,480","00:05:00,760",,and that hour starts now. Good luck.,,
"00:05:00,760","00:05:04,560",,"In just 60 minutes, the actors
must be transformed, ready for",,
"00:05:04,560","00:05:09,240",,"when the doors open to the Dungeon's
hundreds of paying customers.",,
"00:05:09,240","00:05:13,120",,"What's your name? <font color=""#ffffff"">Rachel.
</font>I'm Kellie. <font color=""#00ff00"">Nice lot of hair.</font>",,
"00:05:13,120","00:05:15,040",,"Yeah. <font color=""#00ff00"">Excellent.</font>",,
"00:05:15,040","00:05:16,840",,"Not so many teeth, though.",,
"00:05:16,840","00:05:18,760",,Horror hair. Like Halloween?,,
"00:05:18,760","00:05:22,160",,"No. It's definitely not Halloween.
It's very, very different.",,
"00:05:22,160","00:05:23,800",,It's theatrical hair.,,
"00:05:23,800","00:05:25,400",,It's where you create a character.,,
"00:05:25,400","00:05:28,000",,"And what accessories
have they got to achieve it?",,
"00:05:28,000","00:05:31,720",,"Paddings. They've got ribbons,
got different colours they can put,",,
"00:05:31,720","00:05:34,240",,to make it as real as possible.,,
"00:05:34,240","00:05:38,400",,"Alain, that does sound
a teeny-weeny bit like Halloween.",,
"00:05:38,400","00:05:42,240",,"The stylists will be inspired by
the actors playing the characters.",,
"00:05:44,680","00:05:46,160",,Will you be so kind to just tell me,,
"00:05:46,160","00:05:48,080",,"just a little bit more
about the character?",,
"00:05:48,080","00:05:50,760",,"Sure, Mrs Waldren, she's the
landlady of the Ten Bells Pub,",,
"00:05:50,760","00:05:53,320",,"which is in Whitechapel
round the time of Jack the Ripper.",,
"00:05:53,320","00:05:55,960",,"She loves telling ghost stories
and freaking out her clients.",,
"00:05:55,960","00:05:59,040",,I know that boozer. Nice pies.,,
"00:05:59,040","00:06:01,880",,"It's dark, early morning
and they're in a dungeon.",,
"00:06:01,880","00:06:04,600",,"Is this the right time for
bridal specialist Maryia to step",,
"00:06:04,600","00:06:07,480",,"out of her comfort zone
and go messy?",,
"00:06:07,480","00:06:11,720",,"I'm going to do really big hair.
We will leave a little bit of curls,",,
"00:06:11,720","00:06:17,360",,"just to show off the femininity
of this character. <font color=""#00ffff"">Mm-hm.</font>",,
"00:06:17,360","00:06:21,120",,"Youth worker Kellie is creating
a hairstyle for Mary Jane Kelly,",,
"00:06:21,120","00:06:24,120",,"a prostitute who works a patch
near the Ten Bells Pub,",,
"00:06:24,120","00:06:26,160",,who I definitely do not know.,,
"00:06:26,160","00:06:29,360",,"I work the streets. Erm,
a little bit rough round the edges,",,
"00:06:29,360","00:06:31,800",,"but also try and keep myself
a little bit glamorous,",,
"00:06:31,800","00:06:33,400",,to keep up with the competition.,,
"00:06:33,400","00:06:36,200",,Glam is not what comes to mind!,,
"00:06:36,200","00:06:38,720",,"It's getting
to the end of the night.",,
"00:06:38,720","00:06:43,160",,"It's been raining outside and then
I'm going to do like a beehive,",,
"00:06:43,160","00:06:46,120",,"kind of, like Meggan's hair today.",,
"00:06:46,120","00:06:48,960",,"Kelly, you're supposed to be taking
inspiration from the actress,",,
"00:06:48,960","00:06:50,560",,not Meggan.,,
"00:06:50,560","00:06:53,520",,"Kellie's crimped the hair to give
it texture, which should help",,
"00:06:53,520","00:06:57,040",,"make her backcombing
more solid and last longer.",,
"00:06:57,040","00:06:59,400",,I start from the bottom with my comb,,
"00:06:59,400","00:07:03,200",,"and I pull small sections
down to the root.",,
"00:07:03,200","00:07:06,360",,"I hope Denise likes it.
She loves her backcombing.",,
"00:07:06,360","00:07:08,240",,"Kellie's really gone
for the backcombing.",,
"00:07:08,240","00:07:10,280",,"She's using her tail
comb, which is great,",,
"00:07:10,280","00:07:12,840",,"she's getting right into the roots,
so those roots are solid",,
"00:07:12,840","00:07:15,640",,"and with that crimping,
it's just going to grow.",,
"00:07:15,640","00:07:16,960",,"Crimp on, Kellie.",,
"00:07:19,000","00:07:21,040",,"Tell me about the character, Phil.",,
"00:07:21,040","00:07:26,520",,"Mrs Lovett has a pie shop. Sweeney...
<font color=""#00ffff"">I know. </font>..has a barbershop.",,
"00:07:26,520","00:07:31,360",,"They hatch up a plan to rip people's
heads off in the barber's shop",,
"00:07:31,360","00:07:35,320",,"and cook them in a pie,
in Mrs Lovett's pie shop.",,
"00:07:35,320","00:07:38,280",,"Will you be incorporating
anything pie into the hair?",,
"00:07:38,280","00:07:39,960",,We're doing a farmhouse loaf.,,
"00:07:39,960","00:07:41,960",,Which isn't a pie.,,
"00:07:41,960","00:07:45,640",,"Which looks a little bit like
a massive pork pie, I suppose.",,
"00:07:45,640","00:07:47,960",,Like Alain's hat.,,
"00:07:47,960","00:07:51,800",,"The Victorian era style
is referred to as a cottage loaf.",,
"00:07:51,800","00:07:53,640",,"All the hair is brushed
from the hairline",,
"00:07:53,640","00:07:55,840",,"and gathered
into a bun at the crown.",,
"00:07:55,840","00:07:59,560",,"I'd check the bun, loaf
and pork pie for hair, though.",,
"00:07:59,560","00:08:04,000",,"This is your area, Phil.
Drama, theatre.",,
"00:08:04,000","00:08:05,520",,Are you feeling confident?,,
"00:08:05,520","00:08:07,680",,I'm feeling excited.,,
"00:08:07,680","00:08:10,640",,"I'm Flora.
She's Margery Lovett's sister.",,
"00:08:10,640","00:08:13,440",,"So, Marg Lovett conspires
with Sweeney Todd.",,
"00:08:13,440","00:08:17,160",,"I'm, kind of, like, creepy,
but also child-like.",,
"00:08:17,160","00:08:21,040",,"21-year-old trainee Meggan,
who only just escaped elimination,",,
"00:08:21,040","00:08:24,960",,"plans on creating
an understated up-do.",,
"00:08:24,960","00:08:27,400",,"The overall look
is going to be tight ringlets",,
"00:08:27,400","00:08:29,760",,"but they're going to be messy,
like she hasn't done them",,
"00:08:29,760","00:08:34,000",,"in a while and this bit's all going
to be backcombed and a perfect mess.",,
"00:08:34,000","00:08:37,800",,"A perfect mess -
like Alain's shed at home.",,
"00:08:37,800","00:08:40,320",,My role is a torturer.,,
"00:08:40,320","00:08:44,840",,"I am responsible for torturing
the infamous Guy Fawkes.",,
"00:08:44,840","00:08:48,240",,"<font color=""#00ff00"">Oh, cool. </font>And so I am
very powerful, in control,",,
"00:08:48,240","00:08:53,320",,"it's all about making the audience
feel intimidated by the character.",,
"00:08:53,320","00:08:54,920",,"Well, I'm intimidated.",,
"00:08:54,920","00:08:58,600",,"Like Phil, ex-banker Marlene
is hoping a cottage loaf will be",,
"00:08:58,600","00:09:01,280",,scary enough for the judges.,,
"00:09:01,280","00:09:04,400",,"We're going to try and capture
that description in her hair.",,
"00:09:04,400","00:09:06,200",,I'm going to take her hair real big.,,
"00:09:06,200","00:09:08,720",,"Marlene,
I see you're going big again.",,
"00:09:08,720","00:09:11,800",,"<font color=""#00ff00"">I am. I'm doing the boss.
</font><font color=""#00ffff"">This is a powerful woman.</font>",,
"00:09:11,800","00:09:14,120",,"What are you going to do
if she messes up your look?",,
"00:09:14,120","00:09:17,600",,"Maybe the thumb screws.
Then you can never use your hands
on anyone else's hair.",,
"00:09:17,600","00:09:20,800",,"<font color=""#00ffff"">You're not even an actor, you just
like it here. </font>I just like doing it.",,
"00:09:20,800","00:09:25,160",,"Oh, my God. <font color=""#00ffff"">Stylists,
you have 30 minutes left. </font>Yikes.",,
"00:09:26,240","00:09:29,200",,"With just half an hour
until the actors must be ready,",,
"00:09:29,200","00:09:31,640",,"flamboyant Phil's come up
with a technique to",,
"00:09:31,640","00:09:37,040",,"ensure his cottage loaf is really
self-raising, sorry, hair-raising.",,
"00:09:37,040","00:09:39,400",,"I've done some nice curls
at the front",,
"00:09:39,400","00:09:42,280",,"and I'm just going
to put hairspray on,",,
"00:09:42,280","00:09:46,440",,"just to mattify all these pieces
so that they'll stand up.",,
"00:09:48,120","00:09:49,800",,Marlene's doing the cottage loaf.,,
"00:09:49,800","00:09:53,320",,"She's really got to be careful
that we don't see that padding.",,
"00:09:53,320","00:09:56,600",,"You just want to see the volume,
not how the volume was created.",,
"00:09:56,600","00:10:00,160",,All smoke and mirrors and padding.,,
"00:10:00,160","00:10:01,720",,"I see you've done little ringlets,",,
"00:10:01,720","00:10:04,920",,"taken some technique
from the last eliminator.",,
"00:10:04,920","00:10:07,280",,"I'm a bit worried that this
might not be big enough.",,
"00:10:07,280","00:10:09,600",,"Yeah, I'm thinking about
putting some doughnuts in.",,
"00:10:09,600","00:10:12,880",,"I want you, Meggan, to really
be confident and think big.",,
"00:10:12,880","00:10:15,960",,"Stylists, 12 minutes left.",,
"00:10:15,960","00:10:18,120",,"<font color=""#00ff00"">I'm going to go
and make it big now. </font>Well done.",,
"00:10:18,120","00:10:19,480",,I think it's the right choice.,,
"00:10:19,480","00:10:22,320",,Me too. Alain likes big hair.,,
"00:10:22,320","00:10:24,280",,"Big L, but small ettes.",,
"00:10:24,280","00:10:26,720",,"Looking at Meggan, right now
it's looking a little bit",,
"00:10:26,720","00:10:30,480",,"understated, we want it
big, theatrical, you know,",,
"00:10:30,480","00:10:33,520",,"if I was her, I would be
putting some padding inside.",,
"00:10:33,520","00:10:35,400",,Build it up as much as possible.,,
"00:10:35,400","00:10:37,080",,Make your statement.,,
"00:10:37,080","00:10:39,320",,"Grand, Meggan, grand.",,
"00:10:39,320","00:10:42,400",,"I just want to make sure
that the curls stay in place,",,
"00:10:42,400","00:10:46,280",,"so I just want to put
as much hairspray as possible.",,
"00:10:46,280","00:10:48,840",,"So, I've, literally,
got to finish backcombing",,
"00:10:48,840","00:10:52,760",,"and then put this into
a beehive, kind of, thing.",,
"00:10:52,760","00:10:55,400",,"With just minutes until
the actors have to be ready,",,
"00:10:55,400","00:10:58,240",,"the hairstyles need to
be suitably terrifying.",,
"00:10:58,240","00:11:01,200",,"Stylists, five minutes remaining.",,
"00:11:04,520","00:11:07,720",,"I've only got five minutes left
and I decided to take the hair out",,
"00:11:07,720","00:11:11,040",,"that I'd done and do something else,
so I'm not doing good at the minute.",,
"00:11:11,040","00:11:13,840",,"It should have been bigger, so
I've put two doughnuts in to make it",,
"00:11:13,840","00:11:16,880",,"all bigger and stand
out and still messy.",,
"00:11:20,720","00:11:24,080",,"It's goes so fast,
doesn't it? Geez? <font color=""#00ffff"">I know.</font>",,
"00:11:24,080","00:11:27,240",,"I'm just stressed
and I've got a sweat on.",,
"00:11:27,240","00:11:30,200",,"Well, at least it'll smell
Victorian in the Dungeon.",,
"00:11:32,800","00:11:35,320",,That's it. Time's up.,,
"00:11:35,320","00:11:37,680",,There we go. Time's up.,,
"00:11:37,680","00:11:40,840",,"The judges are looking for
sturdy theatrical hairstyles that",,
"00:11:40,840","00:11:42,720",,fit the characters brief.,,
"00:11:44,840","00:11:48,800",,"Has Maryia messied up
her messy up-do?",,
"00:11:48,800","00:11:52,400",,"It's really well put together.
It looks really quite sinister.",,
"00:11:52,400","00:11:55,360",,"<font color=""#00ff00"">I like it. </font>Lovely firm
and you've got good padding.",,
"00:11:55,360","00:11:56,760",,"I love the theatricalness of it,",,
"00:11:56,760","00:12:00,800",,"you've created messiness that's
organised and actually got shaping.",,
"00:12:02,200","00:12:07,760",,"Has Kellie crimped and backcombed
enough to scare Alain and Denise?",,
"00:12:07,760","00:12:09,800",,"You look great,
you look quite dramatic.",,
"00:12:09,800","00:12:12,200",,"I love the height, I like
the technique that you've used",,
"00:12:12,200","00:12:14,200",,"and I really love
the use of the feathers.",,
"00:12:14,200","00:12:15,320",,"I'm not only scared,",,
"00:12:15,320","00:12:19,680",,"I'm so excited, cos you've reached
new heights in hairdressing.",,
"00:12:19,680","00:12:23,160",,"You've got backcombing and look
at it, it's never going to move,",,
"00:12:23,160","00:12:25,520",,it's solid. You'll be there tomorrow.,,
"00:12:28,080","00:12:33,000",,"Is Marlene's cottage loaf going
to last or become flat bread?",,
"00:12:33,000","00:12:35,120",,Very scary.,,
"00:12:35,120","00:12:37,680",,"I like the fact that you put
the middle parting in, which just",,
"00:12:37,680","00:12:40,120",,"gives a bit more drama to
the situation cos the cottage",,
"00:12:40,120","00:12:42,280",,loaf can look quite soft as well.,,
"00:12:42,280","00:12:46,040",,"But if I look through here, I can
actually just see the padding.",,
"00:12:50,400","00:12:54,960",,"Will the judges think Phil's
cottage loaf is half-baked?",,
"00:12:54,960","00:12:56,840",,You two are like Jedward.,,
"00:12:59,440","00:13:02,800",,"I really love what you did.
A brilliant organised mess.",,
"00:13:02,800","00:13:04,960",,"<font color=""#00ff00"">That's what we're talking about.
</font>It's brilliant.",,
"00:13:04,960","00:13:07,960",,"It's scary but it's theatrical
and you've crinkled the hair",,
"00:13:07,960","00:13:11,720",,"on the ends, so it looks like
it's not been washed for years.",,
"00:13:11,720","00:13:16,480",,"Is Meggan's last -minute hair raise
high enough and frightening enough?",,
"00:13:16,480","00:13:20,120",,"It's a really tame, kind of,
aspect of what we are asking for.",,
"00:13:20,120","00:13:22,680",,"It doesn't make it
as scary as it could be.",,
"00:13:22,680","00:13:24,920",,"We've got all the ringlets,
which works really well.",,
"00:13:24,920","00:13:26,240",,It could be a little tighter.,,
"00:13:26,240","00:13:28,520",,"There's a nice bit
of detail in the plaiting.",,
"00:13:28,520","00:13:31,960",,"The backcombing
could have been much stronger.",,
"00:13:31,960","00:13:34,680",,"With the doors
about to open to the public,",,
"00:13:34,680","00:13:37,480",,"the judges want to see
if the hair is scary",,
"00:13:37,480","00:13:42,000",,"and sturdy enough as the actors take
to the stage on the Dungeon tour.",,
"00:13:47,480","00:13:51,880",,"I was very pleased with
the comments from the judges.",,
"00:13:51,880","00:13:54,920",,"With a slice of a blade, the ripper
vanished. So why did he stop?",,
"00:13:54,920","00:13:58,040",,"Where did he go and
will he strike again?",,
"00:13:58,040","00:14:00,360",,SCREAMING,,
"00:14:00,360","00:14:03,480",,"Oh, no. Oh, Sweeney's here,
I really am sorry.",,
"00:14:03,480","00:14:05,760",,SCREAMING,,
"00:14:05,760","00:14:09,040",,"The main thing about my style,
I think the judges didn't like",,
"00:14:09,040","00:14:13,000",,"was the fact it wasn't big and I'm
frustrated with myself in a way.",,
"00:14:13,000","00:14:18,080",,"If you're lucky,
I might make you a meat pie.",,
"00:14:18,080","00:14:20,720",,"I think I did really well
in that challenge.",,
"00:14:20,720","00:14:22,760",,"They say there's
a killer on the loose.",,
"00:14:22,760","00:14:26,360",,He's called himself Jack the Ripper.,,
"00:14:26,360","00:14:31,920",,"That backcombing is not going
anywhere, so I feel pretty good.",,
"00:14:31,920","00:14:34,200",,I'm not nervous about anything.,,
"00:14:34,200","00:14:36,040",,He's killed twice tonight already.,,
"00:14:36,040","00:14:38,120",,"Who's to say
he won't get a third, eh?",,
"00:14:38,120","00:14:39,160",,SCREAMING,,
"00:14:40,640","00:14:43,800",,"Bones crushed, flesh ripped, blood!",,
"00:14:43,800","00:14:46,720",,"I could see what Denise said about
hiding the padding a bit better,",,
"00:14:46,720","00:14:48,040",,but it was still good.,,
"00:14:48,040","00:14:50,520",,And I will chop it off!,,
"00:14:55,240","00:14:58,480",,"Well, assuming Alain is still
intact, the competition has moved",,
"00:14:58,480","00:15:01,880",,"backstage and the stylists will
now find out who was scary enough",,
"00:15:01,880","00:15:04,520",,to be one step closer to the final.,,
"00:15:04,520","00:15:06,880",,"We enjoyed the show,
but the judges were there to look",,
"00:15:06,880","00:15:10,920",,"closely at your hairdos
and now they have ranked you.",,
"00:15:10,920","00:15:12,400",,"You all did very, very well.",,
"00:15:12,400","00:15:16,120",,In bottom place we have,,
"00:15:16,120","00:15:17,360",,Meggan.,,
"00:15:17,360","00:15:20,880",,"When I see my actress's hair during
the performance, I thought it",,
"00:15:20,880","00:15:22,200",,fitted her perfectly.,,
"00:15:22,200","00:15:24,440",,"If it was big,
it would have just looked silly.",,
"00:15:24,440","00:15:26,520",,In fourth place is Marlene.,,
"00:15:26,520","00:15:29,720",,"Marlene, you just need to watch with
that padding cos we could see it.",,
"00:15:29,720","00:15:32,240",,Fourth is a bit harsh.,,
"00:15:32,240","00:15:34,360",,My actor on the tour looked scary.,,
"00:15:34,360","00:15:35,960",,She was the part.,,
"00:15:35,960","00:15:37,760",,"Third place, Phil.",,
"00:15:37,760","00:15:40,280",,"I thought I was going to do
really well on that challenge.",,
"00:15:40,280","00:15:42,280",,I'm a bit bamboozled.,,
"00:15:42,280","00:15:46,720",,"Last two - very close.
In second place Maryia.",,
"00:15:46,720","00:15:48,480",,"And congratulations, Kellie.",,
"00:15:48,480","00:15:51,520",,"<font color=""#00ffff"">Yeah! </font>First place.",,
"00:15:51,520","00:15:55,080",,"I come first. I genuinely
didn't think I'd come first.",,
"00:15:55,080","00:15:57,720",,"I'm really glad, obviously,
to be the second.",,
"00:15:57,720","00:16:02,160",,"It gives me the opportunity
to relax a little bit.",,
"00:16:02,160","00:16:03,440",,That was a tough one.,,
"00:16:03,440","00:16:06,600",,"I've just got to get better
with the padding and",,
"00:16:06,600","00:16:08,480",,the whole backcombing again.,,
"00:16:08,480","00:16:10,640",,"I'm slightly worried
that I might be going.",,
"00:16:10,640","00:16:12,800",,"I'm just going to go in,
give it my best shot.",,
"00:16:12,800","00:16:17,040",,"I've somehow got to do something
amazing in this next challenge.",,
"00:16:19,400","00:16:21,760",,"Are you ready for
the final challenge for the day?",,
"00:16:21,760","00:16:23,800",,This is a big challenge to win.,,
"00:16:23,800","00:16:26,360",,"In just a few weeks' time,
this attraction will be launching",,
"00:16:26,360","00:16:28,960",,"a brand-new character
from the Victorian period.",,
"00:16:28,960","00:16:33,240",,"You are all competing today
to be the designer of the",,
"00:16:33,240","00:16:37,560",,"new character's hairdo, not just in
London, all across the UK - pictures",,
"00:16:37,560","00:16:43,160",,"and social media campaigns, this
is your shot to get an actual job.",,
"00:16:43,160","00:16:45,720",,"We've got someone else who will
be evaluating your styles.",,
"00:16:45,720","00:16:48,360",,"This is Natalie. She's lead hair
and make up at the Dungeons",,
"00:16:48,360","00:16:49,960",,and why don't you tell us more?,,
"00:16:49,960","00:16:52,440",,The character is called Miss Edmonds.,,
"00:16:52,440","00:16:56,800",,"She was known for poisoning people
via chocolates.",,
"00:16:56,800","00:16:58,600",,She was 43.,,
"00:16:58,600","00:17:01,000",,"She was quite vain
and quite obsessed with the way",,
"00:17:01,000","00:17:06,040",,"she looked, so it's important to
give her an immaculate look overall.",,
"00:17:06,040","00:17:10,920",,"We're looking for a very classic
Victorian hairstyle,",,
"00:17:10,920","00:17:13,400",,very accurate to the time itself.,,
"00:17:13,400","00:17:16,760",,"As part of this challenge, we'd like
you to create a hair rat, which is",,
"00:17:16,760","00:17:21,240",,"the Victorian and traditional
form of padding, so we've prepared",,
"00:17:21,240","00:17:24,320",,"some things that you can actually
make your own hair rats.",,
"00:17:24,320","00:17:29,280",,"Stylists, you have 90 minutes
and your time starts now.",,
"00:17:31,840","00:17:34,960",,"In this challenge, the stylists
will be expected to show",,
"00:17:34,960","00:17:38,840",,"an accurate knowledge
of Victorian hairstyles.",,
"00:17:38,840","00:17:42,800",,"But a low ranking this morning for
Phil, Meggan and Marlene means that",,
"00:17:42,800","00:17:47,440",,"failure to impress in this round
could mean poison with the judges.",,
"00:17:47,440","00:17:52,280",,"This is not
a very pleasant thing to do. Urgh.",,
"00:17:52,280","00:17:55,400",,"Well, they must be used
to hair by now, surely?",,
"00:17:55,400","00:17:58,680",,"I'm not enjoying
this process, at all.",,
"00:17:58,680","00:18:00,800",,But Victorian women loved it.,,
"00:18:00,800","00:18:03,240",,"Instead of throwing away
hair from their brushes,",,
"00:18:03,240","00:18:07,960",,"they put it into nets and used it
as padding, called hair rats.",,
"00:18:07,960","00:18:13,200",,"The way to do it is by sprinkling
finely the hair with hairspray",,
"00:18:13,200","00:18:16,760",,"so you start building up, wrapping
it inside the net, you can",,
"00:18:16,760","00:18:20,520",,"stretch it, you can make it flat,
you may get it however you want.",,
"00:18:20,520","00:18:23,840",,"I think I only need one,
one quite thick big one.",,
"00:18:23,840","00:18:26,120",,"As soon as that's done,
I can get started.",,
"00:18:29,040","00:18:33,960",,"Natalie I'm dying to hear from you.
Surely you've imagined Mrs Edmunds.",,
"00:18:33,960","00:18:37,040",,"For me, because she was quite vain
I think she would be quite neat",,
"00:18:37,040","00:18:38,600",,and tidy.,,
"00:18:38,600","00:18:41,400",,"Maybe with a slight sort
of soft edge to her look.",,
"00:18:41,400","00:18:43,000",,"So, immaculate but feminine.",,
"00:18:43,000","00:18:45,280",,"How important
is historical accuracy to you,",,
"00:18:45,280","00:18:47,360",,"when it comes to
the Victorian style?",,
"00:18:47,360","00:18:49,440",,"It's nice to get it,
sort of, spot on.",,
"00:18:52,680","00:18:55,360",,"I've made my hair rat,
which is going to go at the front,",,
"00:18:55,360","00:19:00,280",,"to add the bigger volume and then
she's going to have like a big",,
